Address,Parcel,Status,Zillow,List Price (Latest),Lot Size,Desirability,Frontage Type,Square Footage,Price/SqFt,Neighborhood,Bedrooms,Bedrooms Up,Bathrooms,Offices,Floors,HOA fees (mo),Year Built,Storage,Yard Size,Garage Spaces,Formal Dining,Finished Basement,Previous Listing,Photo URL
202 Pointe Dr,,Off-market,,,,,,,,,,,,,,,,,,,,,,
204 NW 44th St,,Off-market,,,,,,,,,,,,,,,,,,,,,,
204 NW 47th St,,Off-market,,,,,,,,,,,,,,,,,,,,,,
204 Pointe Dr,,Off-market,,,,,,,,,,,,,,,,,,,,,,
205 NW 44th St,,Off-market,,,,,,,,,,,,,,,,,,,,,,
205 NW 47th St,,Off-market,,,,,,,,,,,,,,,,,,,,,,
206 Pointe Dr,,Off-market,,,,,,,,,,,,,,,,,,,,,,
208 NW 44th St,,Off-market,,,,,,,,,,,,,,,,,,,,,,
208 NW 47th St,,Off-market,,,,,,,,,,,,,,,,,,,,,,
209 NW 44th St,,Off-market,,,,,,,,,,,,,,,,,,,,,,
210 Pointe Ln,,Off-market,,,,,,,,,,,,,,,,,,,,,,
212 NW 47th St,,Off-market,,,,,,,,,,,,,,,,,,,,,,
212 Pointe Ln,,Off-market,,,,,,,,,,,,,,,,,,,,,,
213 NW 44th St,,Off-market,,,,,,,,,,,,,,,,,,,,,,
214 Pointe Ln,,Off-market,,,,,,,,,,,,,,,,,,,,,,
216 NW 47th St,,Off-market,,,,,,,,,,,,,,,,,,,,,,
216 Pointe Ln,,Off-market,,,,,,,,,,,,,,,,,,,,,,
217 NW 43rd St,,Off-market,,,,,,,,,,,,,,,,,,,,,,
218 NW 43rd St,,Off-market,,,,,,,,,,,,,,,,,,,,,,
218 NW 43rd Ter,,Off-market,,,,,,,,,,,,,,,,,,,,,,
218 Pointe Ln,,Off-market,,,,,,,,,,,,,,,,,,,,,,
220 Pointe Ln,,Off-market,,,,,,,,,,,,,,,,,,,,,,
221 NW 43rd St,,Off-market,,,,,,,,,,,,,,,,,,,,,,
223 NW 43rd St,,Off-market,,,,,,,,,,,,,,,,,,,,,,
226 NW 43rd St,,Off-market,,,,,,,,,,,,,,,,,,,,,,
228 NW 43rd Ter,,Off-market,,,,,,,,,,,,,,,,,,,,,,
236 NW 43rd Ter,,Off-market,,,,,,,,,,,,,,,,,,,,,,
300 NW 43rd St,,Off-market,,,,,,,,,,,,,,,,,,,,,,
300 NW 43rd Ter,,Off-market,,,,,,,,,,,,,,,,,,,,,,
300 NW Briarcliff Cr,,Off-market,,,,,,,,,,,,,,,,,,,,,,
301 NW Briarcliff Cr,,Off-market,,,,,,,,,,,,,,,,,,,,,,
304 NW Briarcliff Cr,,Off-market,,,,,,,,,,,,,,,,,,,,,,
304 NW Briarcliff Rd,,Off-market,,,,,,,,,,,,,,,,,,,,,,
305 NW Briarcliff Cr,,Off-market,,,,,,,,,,,,,,,,,,,,,,
308 NW Briarcliff Cr,,Off-market,,,,,,,,,,,,,,,,,,,,,,
308 NW Briarcliff Rd,,Off-market,,,,,,,,,,,,,,,,,,,,,,
309 NW Briarcliff Cr,,Off-market,,,,,,,,,,,,,,,,,,,,,,
317 NW Briarcliff Rd,,Off-market,,,,,,,,,,,,,,,,,,,,,,
318 NW Briarcliff Rd,,Off-market,,,,,,,,,,,,,,,,,,,,,,
321 NW Briarcliff Rd,,Off-market,,,,,,,,,,,,,,,,,,,,,,
400 NW 47th St,,Off-market,,,,,,,,,,,,,,,,,,,,,,
400 NW Briarcliff Ct,,Off-market,,,,,,,,,,,,,,,,,,,,,,
400 NW Briarcliff Rd,,Off-market,,,,,,,,,,,,,,,,,,,,,,
401 NW 47th St,,Off-market,,,,,,,,,,,,,,,,,,,,,,
403 NW Briarcliff Pkwy,,Off-market,,,,,,,,,,,,,,,,,,,,,,
404 NW 44th St,,Off-market,,,,,,,,,,,,,,,,,,,,,,
404 NW 47th St,,Off-market,,,,,,,,,,,,,,,,,,,,,,
404 NW Briarcliff Rd,,Off-market,,,,,,,,,,,,,,,,,,,,,,
405 NW 44th St,,Off-market,,,,,,,,,,,,,,,,,,,,,,
405 NW 47th St,,Off-market,,,,,,,,,,,,,,,,,,,,,,
405 NW Briarcliff Pkwy,,Off-market,,,,,,,,,,,,,,,,,,,,,,
406 NW 43rd Ter,,Off-market,,,,,,,,,,,,,,,,,,,,,,
406 NW Briarcliff Ct,,Off-market,,,,,,,,,,,,,,,,,,,,,,
406 NW Briarcliff Pkwy,,Off-market,,,,,,,,,,,,,,,,,,,,,,
407 NW 43rd Ter,,Off-market,,,,,,,,,,,,,,,,,,,,,,
407 NW Briarcliff Ct,,Off-market,,,,,,,,,,,,,,,,,,,,,,
407 NW Briarcliff Pkwy,,Off-market,,,,,,,,,,,,,,,,,,,,,,
408 NW 44th St,,Off-market,,,,,,,,,,,,,,,,,,,,,,
